,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
A2M,,,154.0,154.0,
AAAS,80.0,117.0,133.0,110.0,27.184554438136374
AACS,135.0,,,135.0,
AADAT,,,184.0,184.0,
AAGAB,75.0,82.0,92.0,83.0,8.54400374531753
AAMDC,,,106.5,106.5,
AAMP,88.0,110.0,117.0,105.0,15.132745950421556
AAR2,136.0,,,136.0,
AARS,103.0,111.0,121.0,111.66666666666667,9.018499505645789
AASDHPPT,,118.0,128.5,123.25,7.424621202458749
AASS,,128.0,,128.0,
AATF,82.0,101.0,133.0,105.33333333333333,25.774664562964407
ABAT,,,106.5,106.5,
ABCA1,,,175.0,175.0,
ABCB7,59.0,119.0,120.0,99.33333333333333,34.93326972004386
ABCB8,79.0,,,79.0,
ABCC2,,,189.0,189.0,
ABCC3,88.0,,,88.0,
ABCC5,,,181.0,181.0,
ABCD3,,,108.0,108.0,
ABCD4,88.0,86.0,121.5,98.5,19.94367067517913
ABCE1,,69.0,152.0,110.5,58.68986283848344
ABCF1,121.0,123.0,,122.0,1.4142135623730951
ABCF2,110.5,106.0,107.0,107.83333333333333,2.362907813126304
ABCF3,108.0,,,108.0,
ABCG1,95.0,,,95.0,
ABHD10,96.0,116.0,136.0,116.0,20.0
ABHD11,96.5,,,96.5,
ABHD12,85.5,,,85.5,
ABHD12B,,130.5,,130.5,
ABHD13,79.0,,,79.0,
ABHD14B,99.5,,,99.5,
ABHD17C,138.0,,,138.0,
ABHD4,104.0,110.0,117.0,110.33333333333333,6.506407098647712
ABHD5,74.5,,,74.5,
ABHD6,70.5,,132.0,101.25,43.487067042972676
ABI1,,81.0,160.5,120.75,56.21498910433053
ABI2,63.5,112.0,133.5,103.0,35.857356288493996
ABL1,93.0,,163.0,128.0,49.49747468305833
ABLIM1,98.0,,120.5,109.25,15.90990257669732
ABO,95.0,,,95.0,
ABR,,,178.5,178.5,
ABRACL,85.0,112.5,101.0,99.5,13.811227316933133
ABT1,93.0,128.5,152.5,124.66666666666667,29.93465104746226
AC002310.12,109.0,,,109.0,
AC005062.2,,131.5,,131.5,
AC005154.6,93.0,,,93.0,
AC005276.1,,131.0,,131.0,
AC006262.5,102.0,,,102.0,
AC007318.5,89.0,100.0,113.0,100.66666666666667,12.013880860626733
AC007326.1,,185.5,,185.5,
AC009005.2,130.0,,,130.0,
AC012146.7,106.0,,,106.0,
AC013461.1,99.0,,,99.0,
AC016577.1,,156.0,,156.0,
AC026271.5,54.5,,112.0,83.25,40.658639918226484
AC027612.6,97.0,,,97.0,
AC074289.1,,133.0,,133.0,
AC133785.1,70.0,,,70.0,
ACAA1,85.0,,111.0,98.0,18.384776310850235
ACAA2,84.0,,133.0,108.5,34.64823227814083
ACACA,65.0,145.5,180.0,130.16666666666666,59.01341655363917
ACAD8,90.0,121.0,171.5,127.5,41.13696634415329
ACAD9,83.0,,128.0,105.5,31.81980515339464
ACADM,92.0,136.0,137.0,121.66666666666667,25.69695182961071
ACADSB,,,138.0,138.0,
ACADVL,80.0,,258.0,169.0,125.86500705120545
ACAP2,,,218.0,218.0,
ACAT1,77.0,97.0,141.5,105.16666666666667,33.016410061260956
ACAT2,72.0,71.0,120.0,87.66666666666667,28.00595174839329
ACBD3,,,112.0,112.0,
ACBD4,97.0,,,97.0,
ACBD6,73.5,104.0,,88.75,21.5667568261897
ACD,92.0,,88.0,90.0,2.8284271247461903
ACKR3,,,122.0,122.0,
ACLY,123.5,121.5,141.0,128.66666666666666,10.727690027836063
ACO1,82.0,,,82.0,
ACO2,97.0,105.0,114.0,105.33333333333333,8.504900548115383
ACOT13,60.0,96.0,120.0,92.0,30.199337741083
ACOT2,85.0,,165.0,125.0,56.568542494923804
ACOT7,102.0,100.0,109.0,103.66666666666667,4.725815626252608
ACOT8,99.0,109.0,126.0,111.33333333333333,13.650396819628847
ACOT9,81.0,78.5,179.0,112.83333333333333,57.31564649668826
ACP1,83.0,119.0,127.0,109.66666666666667,23.437861108329262
ACP2,124.5,,129.0,126.75,3.181980515339464
ACP6,104.0,,132.0,118.0,19.79898987322333
ACSF2,81.0,,146.0,113.5,45.96194077712559
ACSF3,89.0,,,89.0,
ACSL1,75.5,,,75.5,
ACSL3,,88.0,140.0,114.0,36.76955262170047
ACSL4,,,131.0,131.0,
ACSM3,,162.0,,162.0,
ACSS2,68.5,,116.5,92.5,33.94112549695428
ACTA2,98.0,,90.0,94.0,5.656854249492381
ACTB,119.0,137.0,148.0,134.66666666666666,14.6401275039985
ACTC1,89.0,,,89.0,
ACTG1,91.5,99.5,106.0,99.0,7.262919523166975
ACTL6A,95.5,112.0,118.0,108.5,11.651180197731044
ACTN1,95.0,128.0,123.0,115.33333333333333,17.7857620959388
ACTR10,85.0,100.0,120.0,101.66666666666667,17.55942292142123
ACTR1A,62.5,97.0,87.0,82.16666666666667,17.750586844759056
ACTR1B,105.0,,,105.0,
ACTR2,95.5,91.0,112.0,99.5,11.05667219374799
ACTR3,76.0,115.0,140.0,110.33333333333333,32.25419869309007
ACTR3B,89.0,,,89.0,
ACTR6,,99.0,122.0,110.5,16.263455967290593
ACVR2A,,,143.0,143.0,
ACVR2B,,90.5,112.0,101.25,15.202795795510772
ACYP1,124.0,,185.0,154.5,43.1335136523794
ACYP2,96.0,,,96.0,
ADA,79.0,,99.0,89.0,14.142135623730951
ADAM10,,99.0,151.0,125.0,36.76955262170047
ADAM9,,,160.0,160.0,
ADAMTS1,97.0,,169.0,133.0,50.91168824543142
ADAMTS12,,,159.0,159.0,
ADAMTS9,,,141.5,141.5,
ADAR,105.0,129.5,162.0,132.16666666666666,28.59341416014068
ADARB1,135.0,,,135.0,
ADCK1,91.0,,,91.0,
ADCK3,114.5,,165.0,139.75,35.70889244992065
ADCY2,,112.0,,112.0,
ADCY3,102.5,,,102.5,
ADCY6,,,224.5,224.5,
ADD1,123.0,,199.0,161.0,53.74011537017761
ADD2,,73.0,,73.0,
ADD3,,105.0,195.5,150.25,63.99316369738255
ADGRA2,,,199.0,199.0,
ADGRA3,,147.5,239.0,193.25,64.7002704785691
ADGRE2,131.5,,,131.5,
ADGRE5,94.0,,,94.0,
ADGRG3,81.0,,,81.0,
ADGRG6,,,176.0,176.0,
ADGRL2,,,198.0,198.0,
ADGRV1,,101.0,,101.0,
ADH5,78.5,100.0,124.0,100.83333333333333,22.76144400808818
ADIPOR1,93.0,100.0,121.5,104.83333333333333,14.852048119142804
ADIPOR2,120.0,,,120.0,
ADK,73.5,126.0,119.0,106.16666666666667,28.50584735336477
ADM,115.0,,,115.0,
ADNP,,122.0,144.5,133.25,15.90990257669732
ADNP2,,,199.0,199.0,
ADPGK,94.0,,202.5,148.25,76.7210857587404
ADPRHL2,89.0,102.0,89.5,93.5,7.365459931328117
ADPRM,101.0,,102.5,101.75,1.0606601717798212
ADRM1,101.0,90.5,94.5,95.33333333333333,5.299371031861549
ADSSL1,88.0,,,88.0,
AEN,102.0,,,102.0,
AES,110.5,,,110.5,
AFAP1L2,,,182.0,182.0,
AFG3L2,102.0,99.5,97.0,99.5,2.5
AFMID,121.0,140.0,154.0,138.33333333333334,16.56301099840646
AFP,,,150.0,150.0,
AGA,62.5,,127.0,94.75,45.608387386532314
AGAP3,143.0,,,143.0,
AGBL5,81.0,,100.0,90.5,13.435028842544403
AGFG1,,102.0,205.5,153.75,73.18555185280766
AGK,62.0,113.0,163.0,112.66666666666667,50.500825075768155
AGMAT,65.0,,,65.0,
AGO1,,,143.0,143.0,
AGO2,,,151.0,151.0,
AGPAT1,106.0,,,106.0,
AGPAT2,83.0,,,83.0,
AGPAT4,,116.5,234.0,175.25,83.08504678941934
AGPAT5,63.0,,150.0,106.5,61.518289963229634
AGPS,,,133.0,133.0,
AGR2,90.0,,,90.0,
AGT,,,106.0,106.0,
AGTRAP,96.5,105.0,105.5,102.33333333333333,5.057996968497839
AHCTF1,,,140.5,140.5,
AHCY,101.0,,,101.0,
AHCYL1,84.0,113.5,135.0,110.83333333333333,25.60436160761157
AHCYL2,,,148.0,148.0,
AHI1,,,272.0,272.0,
AHSA1,124.0,103.5,,113.75,14.495689014324224
AHSA2,,,163.5,163.5,
AHSG,,,125.0,125.0,
AIDA,66.0,86.5,89.5,80.66666666666667,12.789970028633114
AIF1L,121.0,133.0,84.0,112.66666666666667,25.540817005987364
AIFM1,78.0,110.0,120.0,102.66666666666667,21.93931022920578
AIFM2,68.0,,,68.0,
AIG1,78.5,126.0,66.0,90.16666666666667,31.655699855370965
AIMP1,94.0,125.0,135.0,118.0,21.37755832643195
AIMP2,100.0,118.0,126.0,114.66666666666667,13.316656236958787
AIP,89.5,113.5,109.5,104.16666666666667,12.858201014657274
AJUBA,106.5,,,106.5,
AK2,84.0,91.5,124.5,100.0,21.54646142641524
AK3,,,167.0,167.0,
AK4,86.0,112.0,142.5,113.5,28.279851484758545
AKAP1,,91.0,146.5,118.75,39.244426355853385
AKAP11,,,127.5,127.5,
AKAP12,,103.0,128.0,115.5,17.67766952966369
AKAP7,,122.0,,122.0,
AKAP9,,,255.5,255.5,
AKIP1,88.0,127.0,118.5,111.16666666666667,20.508128469788105
AKIRIN1,107.0,147.0,179.0,144.33333333333334,36.073998022583154
AKIRIN2,163.0,,,163.0,
AKR1A1,78.0,102.0,103.0,94.33333333333333,14.153915830374762
AKR1B1,81.0,97.0,104.0,94.0,11.789826122551595
AKR1C1,78.5,,,78.5,
AKR1C2,77.0,,,77.0,
AKR1D1,,,78.0,78.0,
AKR7A2,76.0,,74.0,75.0,1.4142135623730951
AKT1,86.0,,129.0,107.5,30.405591591021544
AKT3,,,161.0,161.0,
ALAS1,90.5,75.0,120.5,95.33333333333333,23.13186834938616
ALB,,,149.0,149.0,
ALCAM,,,99.0,99.0,
ALDH18A1,118.0,107.0,133.0,119.33333333333333,13.051181300301263
ALDH1A1,,,127.5,127.5,
ALDH1B1,99.0,98.0,,98.5,0.7071067811865476
ALDH2,,,167.0,167.0,
ALDH3A1,88.0,,,88.0,
ALDH3A2,62.0,101.0,154.0,105.66666666666667,46.177194948733444
ALDH3B1,95.0,,,95.0,
ALDH6A1,90.5,,134.0,112.25,30.759144981614817
ALDH7A1,82.5,116.0,130.0,109.5,24.407990494917847
ALDOA,85.0,100.0,103.0,96.0,9.643650760992955
ALDOC,75.0,89.0,102.0,88.66666666666667,13.503086067019396
ALG1,95.5,117.0,,106.25,15.202795795510772
ALG13,46.5,,230.0,138.25,129.75409434773147
ALG14,108.0,,,108.0,
ALG2,60.0,,,60.0,
ALG3,95.0,87.0,110.0,97.33333333333333,11.67618659209133
ALG5,86.0,84.0,108.5,92.83333333333333,13.604533558095012
ALG6,,102.5,142.0,122.25,27.93071785686863
ALG8,79.5,93.5,127.0,100.0,24.407990494917847
ALKBH1,107.0,100.0,122.5,109.83333333333333,11.514483632943916
ALKBH2,77.0,125.0,167.5,123.16666666666667,45.2778459440523
ALKBH3,86.5,,86.0,86.25,0.3535533905932738
ALKBH5,126.0,,,126.0,
ALKBH7,115.0,,88.0,101.5,19.091883092036785
ALPL,,110.0,,110.0,
ALS2,,,238.0,238.0,
ALX1,94.0,,,94.0,
AMBP,,,145.0,145.0,
AMD1,105.0,118.0,97.0,106.66666666666667,10.598742063723098
AMFR,128.0,116.0,137.5,127.16666666666667,10.774197572595991
AMOT,,,140.0,140.0,
AMOTL1,,,87.0,87.0,
AMPD2,89.5,,162.0,125.75,51.2652416360247
AMT,,88.5,100.0,94.25,8.131727983645296
AMZ2,77.0,98.0,84.0,86.33333333333333,10.692676621563628
AMZ2P1,79.5,156.0,134.0,123.16666666666667,39.383795313978226
ANAPC10,,,85.5,85.5,
ANAPC11,95.0,125.0,136.5,118.83333333333333,21.42623003081348
ANAPC13,72.5,119.0,101.5,97.66666666666667,23.48581131946123
ANAPC15,86.0,90.5,140.0,105.5,29.962476533157268
ANAPC16,77.5,114.0,106.0,99.16666666666667,19.185497995447847
ANAPC4,,235.0,,235.0,
ANAPC5,101.0,114.5,182.0,132.5,43.3964284244683
ANAPC7,153.0,,,153.0,
ANGEL2,,,247.0,247.0,
ANGPTL4,118.5,,,118.5,
ANK2,,,153.0,153.0,
ANKFY1,,,238.0,238.0,
ANKH,73.0,,,73.0,
ANKIB1,,,202.0,202.0,
ANKLE2,98.0,,243.0,170.5,102.5304832720494
ANKMY2,49.0,,120.0,84.5,50.204581464244875
ANKRA2,,63.0,156.0,109.5,65.76093065034893
ANKRD10,87.0,140.0,226.0,151.0,70.14983962918234
ANKRD13C,,,205.0,205.0,
ANKRD17,,,188.5,188.5,
ANKRD2,65.0,,,65.0,
ANKRD27,,,133.0,133.0,
ANKRD28,,,211.0,211.0,
ANKRD46,,,125.0,125.0,
ANKZF1,112.0,84.0,205.0,133.66666666666666,63.34298172120834
ANLN,58.0,109.0,134.0,100.33333333333333,38.7341365378568
ANO10,100.0,129.0,,114.5,20.506096654409877
ANO6,,,150.5,150.5,
ANOS1,,127.5,,127.5,
ANP32A,97.0,,,97.0,
ANP32B,103.0,107.0,108.0,106.0,2.6457513110645907
ANP32E,,109.0,136.5,122.75,19.445436482630058
ANTXR1,99.0,,91.0,95.0,5.656854249492381
ANTXR2,,,141.0,141.0,
ANXA1,75.5,,85.5,80.5,7.0710678118654755
ANXA11,98.0,,,98.0,
ANXA2,88.0,106.0,104.0,99.33333333333333,9.865765724632496
ANXA2P2,102.0,,,102.0,
ANXA3,55.0,97.0,82.0,78.0,21.283796653792763
ANXA4,93.5,,104.0,98.75,7.424621202458749
ANXA5,83.0,102.0,117.0,100.66666666666667,17.03917055884274
ANXA6,82.0,,91.0,86.5,6.363961030678928
ANXA7,90.0,112.0,123.0,108.33333333333333,16.802777548171413
ANXA8,,,91.0,91.0,
AP1G1,,,164.0,164.0,
AP1G2,,100.0,268.5,184.25,119.14749262993325
AP1M1,100.0,109.0,114.0,107.66666666666667,7.094598884597588
AP1M2,101.5,117.0,104.5,107.66666666666667,8.220908303425682
AP1S2,,141.5,100.0,120.75,29.34493141924172
AP2B1,80.0,93.0,76.0,83.0,8.888194417315589
AP2M1,90.0,108.5,105.0,101.16666666666667,9.827681991870378
AP2S1,85.0,,,85.0,
AP3B1,,,69.0,69.0,
AP3D1,73.0,,,73.0,
AP3M1,106.0,122.0,151.0,126.33333333333333,22.81081614790083
AP3M2,85.5,,166.0,125.75,56.922095885517074
AP3S1,74.0,106.5,72.5,84.33333333333333,19.211541669874737
AP4B1,,,129.0,129.0,
AP4M1,88.0,,69.5,78.75,13.08147545195113
AP5M1,,126.0,,126.0,
APBB1,,,140.5,140.5,
APEH,82.0,99.0,96.0,92.33333333333333,9.073771725877467
APELA,,121.0,,121.0,
APEX1,94.0,110.0,109.0,104.33333333333333,8.962886439832502
APEX2,92.0,121.0,118.0,110.33333333333333,15.947831618540913
APH1A,97.0,117.0,131.0,115.0,17.08800749063506
API5,,109.0,177.0,143.0,48.08326112068523
APIP,,111.5,144.0,127.75,22.980970388562795
APLP2,125.0,126.0,148.0,133.0,13.0
APMAP,106.0,118.5,111.0,111.83333333333333,6.2915286960589585
APOA1,,,138.0,138.0,
APOA1BP,83.0,101.0,103.0,95.66666666666667,11.015141094572204
APOA2,,,99.0,99.0,
APOA4,,,107.0,107.0,
APOB,,,121.0,121.0,
APOC3,,,104.0,104.0,
APOM,,,102.0,102.0,
APOO,76.0,73.0,99.5,82.83333333333333,14.511489700693494
APP,,103.0,,103.0,
APPBP2,,,157.0,157.0,
APPL2,,,150.0,150.0,
APRT,79.0,101.5,119.0,99.83333333333333,20.05201569252661
APTX,87.0,106.0,141.5,111.5,27.663152387246107
AQP1,,,100.0,100.0,
AQP3,98.0,,,98.0,
AQR,,132.0,137.0,134.5,3.5355339059327378
ARAF,111.0,,,111.0,
ARAP1,128.0,,,128.0,
ARCN1,,133.5,137.0,135.25,2.4748737341529163
AREL1,,,129.0,129.0,
ARF1,91.0,107.0,103.5,100.5,8.411301920630361
ARF3,83.0,,,83.0,
ARF4,77.0,108.5,109.0,98.16666666666667,18.332575741922717
ARF6,106.0,,,106.0,
ARFGAP2,115.0,107.0,112.0,111.33333333333333,4.041451884327381
ARFGEF1,,,178.0,178.0,
ARFGEF2,,,114.0,114.0,
ARFIP1,,110.0,107.0,108.5,2.1213203435596424
ARFIP2,95.0,,,95.0,
ARFRP1,120.5,,,120.5,
ARG2,86.0,103.5,82.0,90.5,11.434596626029272
ARGLU1,,289.5,311.5,300.5,15.556349186104045
ARHGAP1,111.0,,,111.0,
ARHGAP11A,,,194.5,194.5,
ARHGAP21,,,211.5,211.5,
ARHGAP28,,,119.0,119.0,
ARHGDIB,,,97.5,97.5,
ARHGEF12,,,145.0,145.0,
ARHGEF17,,,247.5,247.5,
ARHGEF19,107.0,,,107.0,
ARHGEF2,135.5,,,135.5,
ARHGEF3,,,122.5,122.5,
ARHGEF39,100.0,,,100.0,
ARHGEF7,,,205.0,205.0,
ARHGEF9,,105.0,79.0,92.0,18.384776310850235
ARID1A,,132.0,183.0,157.5,36.062445840513924
ARID1B,,,155.0,155.0,
ARID2,,,181.0,181.0,
ARID4A,,,215.0,215.0,
ARID5B,,,94.0,94.0,
ARIH1,106.0,,162.0,134.0,39.59797974644666
ARIH2,82.0,120.0,174.0,125.33333333333333,46.23130252689549
ARL1,147.5,114.0,121.5,127.66666666666667,17.58076600530629
ARL14EP,,59.0,139.0,99.0,56.568542494923804
ARL16,76.0,101.5,81.0,86.16666666666667,13.512340039139533
ARL2BP,80.0,118.0,104.5,100.83333333333333,19.26352338834548
ARL3,71.0,119.0,132.0,107.33333333333333,32.129944496269104
ARL4A,85.0,,69.0,77.0,11.313708498984761
ARL4D,113.0,73.0,116.0,100.66666666666667,24.006943440041116
ARL5A,,95.5,126.0,110.75,21.5667568261897
ARL5B,,,159.0,159.0,
ARL6IP1,71.0,110.5,140.5,107.33333333333333,34.858045460601105
ARL6IP5,82.0,125.0,103.0,103.33333333333333,21.501937897160182
ARL6IP6,109.0,130.0,169.5,136.16666666666666,30.717801570641956
ARL8B,112.5,90.5,111.0,104.66666666666667,12.291596044994861
ARMC1,,82.0,125.5,103.75,30.759144981614817
ARMC6,100.0,,,100.0,
ARMC8,,146.5,93.5,120.0,37.476659402887016
ARMC9,,125.5,124.0,124.75,1.0606601717798212
ARMCX2,,161.0,141.0,151.0,14.142135623730951
ARMCX3,,,176.0,176.0,
ARMCX6,91.5,,137.0,114.25,32.17335854398791
ARMT1,,120.5,130.0,125.25,6.7175144212722016
ARNT,,,153.0,153.0,
ARPC1A,90.0,111.0,99.5,100.16666666666667,10.515861036231572
ARPC1B,112.0,,,112.0,
ARPC2,73.5,103.0,92.0,89.5,14.908051515875574
ARPC5,85.0,89.0,123.0,99.0,20.8806130178211
ARPC5L,98.5,,,98.5,
ARPIN,131.5,,,131.5,
ARPP19,94.0,92.0,116.0,100.66666666666667,13.316656236958787
ARRDC1,83.0,,,83.0,
ARRDC3,,,190.0,190.0,
ARRDC4,,,150.5,150.5,
ARSE,,,138.0,138.0,
ARV1,54.0,,135.0,94.5,57.27564927611035
ASAH1,59.5,117.0,125.5,100.66666666666667,35.90380666911704
ASAP1,,,171.5,171.5,
ASB1,,,168.0,168.0,
ASB13,114.5,,,114.5,
ASB16-AS1,88.5,,,88.5,
ASB6,134.5,,,134.5,
ASB9,83.0,,,83.0,
ASCC1,103.0,99.0,108.0,103.33333333333333,4.509249752822894
ASCC2,74.0,,110.0,92.0,25.45584412271571
ASCC3,,,110.5,110.5,
ASF1A,50.0,156.0,146.0,117.33333333333333,58.52634734316958
ASF1B,88.5,,,88.5,
ASGR1,,,121.0,121.0,
ASGR2,,,126.0,126.0,
ASH2L,96.0,103.0,103.5,100.83333333333333,4.193248541803041
ASMTL,76.5,,,76.5,
ASNA1,71.0,,,71.0,
ASNS,84.0,89.5,125.0,99.5,22.254213084267885
ASNSD1,,121.5,136.5,129.0,10.606601717798213
ASPH,81.5,149.0,150.0,126.83333333333333,39.263002092725074
ASPHD1,68.0,,,68.0,
ASPM,,,180.0,180.0,
ASRGL1,71.0,,,71.0,
ASS1,64.0,82.0,96.0,80.66666666666667,16.041612554021288
ASUN,,85.0,,85.0,
ASXL1,162.0,,230.0,196.0,48.08326112068523
ATAD1,84.0,53.0,125.0,87.33333333333333,36.11555528208494
ATAD2,,,166.0,166.0,
ATAD2B,,,244.5,244.5,
ATE1,,,123.0,123.0,
ATF2,,,187.0,187.0,
ATF3,106.0,,,106.0,
ATF4,98.0,138.0,186.0,140.66666666666666,44.06056437828882
ATF6,87.5,,139.5,113.5,36.76955262170047
ATF7IP,,,147.5,147.5,
ATF7IP2,,,201.5,201.5,
ATG101,92.0,,,92.0,
ATG12,103.0,100.0,129.0,110.66666666666667,15.947831618540913
ATG13,104.0,129.0,107.0,113.33333333333333,13.650396819628847
ATG2B,,,199.0,199.0,
ATG3,85.0,107.0,145.0,112.33333333333333,30.35347316755256
ATG4A,83.0,,,83.0,
ATG4B,67.0,,,67.0,
ATG5,,,110.0,110.0,
ATG7,89.5,135.5,105.5,110.16666666666667,23.352373184182657
ATG9A,139.5,,,139.5,
ATIC,85.0,97.0,88.0,90.0,6.244997998398398
ATL2,,135.0,199.5,167.25,45.608387386532314
ATL3,67.5,136.0,162.0,121.83333333333333,48.81683452799181
ATM,,,201.5,201.5,
ATMIN,78.0,,106.0,92.0,19.79898987322333
ATOX1,104.0,123.0,103.0,110.0,11.269427669584644
ATP11A,,188.0,,188.0,
ATP11B,,,165.0,165.0,
ATP13A3,,130.5,191.5,161.0,43.1335136523794
ATP1A1,96.0,95.0,125.0,105.33333333333333,17.03917055884274
ATP1B1,59.0,,,59.0,
ATP1B2,,144.0,,144.0,
ATP1B3,61.0,94.5,95.5,83.66666666666667,19.63627595378852
ATP2A1-AS1,119.0,,,119.0,
ATP2A2,,137.0,191.0,164.0,38.18376618407357
ATP2B1,,,138.0,138.0,
ATP2B4,,,175.0,175.0,
ATP2C1,72.0,95.0,221.0,129.33333333333334,80.21429631514157
ATP5A1,83.0,103.5,85.0,90.5,11.302654555457314
ATP5B,83.0,107.0,103.0,97.66666666666667,12.858201014657274
ATP5C1,58.0,81.0,94.0,77.66666666666667,18.230011885167087
ATP5D,96.5,107.0,,101.75,7.424621202458749
ATP5E,84.0,128.5,115.0,109.16666666666667,22.81629534638201
ATP5F1,68.0,89.0,92.0,83.0,13.076696830622021
ATP5G1,99.0,123.0,118.0,113.33333333333333,12.662279942148386
ATP5G2,98.0,118.0,100.0,105.33333333333333,11.015141094572204
ATP5G3,94.0,111.0,101.5,102.16666666666667,8.519585279421372
ATP5H,59.0,90.0,87.5,78.83333333333333,17.22159497065627
ATP5I,86.0,118.0,119.0,107.66666666666667,18.77054430040145
ATP5J,83.5,118.0,91.5,97.66666666666667,18.05777764104247
ATP5L,90.0,101.0,101.5,97.5,6.5
ATP5SL,97.0,82.0,80.0,86.33333333333333,9.29157324317757
ATP6AP1,119.0,150.0,130.5,133.16666666666666,15.671098663888673
ATP6AP2,75.0,118.5,121.0,104.83333333333333,25.86664518899452
ATP6V0B,95.0,116.0,137.0,116.0,21.0
ATP6V0D1,100.0,110.0,118.5,109.5,9.260129588726068
ATP6V0E1,78.5,89.0,94.0,87.16666666666667,7.910962857537212
ATP6V0E2,121.0,,,121.0,
ATP6V1A,52.0,138.5,,95.25,61.16473657263636
ATP6V1B2,83.5,110.0,138.0,110.5,27.253440149823287
ATP6V1C1,,144.0,93.0,118.5,36.062445840513924
ATP6V1D,60.0,90.0,92.0,80.66666666666667,17.925772879665004
ATP6V1E1,71.0,118.0,109.0,99.33333333333333,24.94660965609021
ATP6V1F,94.0,97.0,96.5,95.83333333333333,1.6072751268321592
ATP6V1G1,82.5,117.0,129.5,109.66666666666667,24.343034595820903
ATP6V1H,81.5,85.0,165.5,110.66666666666667,47.51929432697136
ATP7B,,,203.0,203.0,
ATP9A,,,233.0,233.0,
ATPAF1,,,124.0,124.0,
ATPIF1,77.5,110.0,142.0,109.83333333333333,32.25032299579856
ATR,,,232.5,232.5,
ATRAID,77.0,115.0,101.5,97.83333333333333,19.26352338834548
ATRNL1,,,100.0,100.0,
ATRX,,,194.5,194.5,
ATXN10,84.5,93.5,108.0,95.33333333333333,11.856784274554942
ATXN1L,,,109.0,109.0,
ATXN2,,,202.0,202.0,
ATXN7L3B,119.0,133.0,126.0,126.0,7.0
AUP1,86.0,111.0,122.5,106.5,18.661457606521523
AURKA,87.0,108.0,99.5,98.16666666666667,10.56330125166055
AURKAIP1,89.5,128.0,137.0,118.16666666666667,25.230603110772705
AURKB,95.0,111.0,145.5,117.16666666666667,25.80859030116394
AVL9,,,205.0,205.0,
AVPI1,83.0,,,83.0,
AXIN1,171.0,,,171.0,
AXL,,,133.0,133.0,
AZI2,64.0,91.0,123.0,92.66666666666667,29.535289626704753
AZIN1,99.5,106.0,123.0,109.5,12.134661099511597
B2M,72.0,112.0,108.0,97.33333333333333,22.030282189144405
B3GAT3,131.0,,,131.0,
B3GLCT,,,186.0,186.0,
B3GNT2,,110.0,,110.0,
B3GNT5,108.0,,,108.0,
B3GNT7,,140.0,,140.0,
B3GNTL1,81.0,,,81.0,
B4GALT1,131.0,,,131.0,
B4GALT3,112.0,118.0,137.0,122.33333333333333,13.051181300301263
B4GALT4,,110.0,133.5,121.75,16.617009357883866
B4GALT5,,119.5,,119.5,
B4GALT6,,,252.0,252.0,
B4GALT7,52.0,,,52.0,
B4GAT1,,,110.5,110.5,
B9D1,84.0,115.5,117.0,105.5,18.634645153584223
BACE2,52.0,,,52.0,
BACH1,,,122.0,122.0,
BAD,85.0,,,85.0,
BAG1,96.0,,,96.0,
BAG2,68.0,,81.0,74.5,9.192388155425117
BAG6,79.0,,,79.0,
BAIAP2L1,93.0,68.0,211.0,124.0,76.3740793725201
BAK1,87.0,122.0,93.0,100.66666666666667,18.717193521821944
BAMBI,,,162.0,162.0,
BANF1,100.5,100.0,100.0,100.16666666666667,0.2886751345948129
BAP1,114.0,,156.0,135.0,29.698484809834994
BASP1,63.5,,99.0,81.25,25.102290732122437
BAX,66.0,,,66.0,
BAZ1A,,,185.0,185.0,
BAZ1B,,,89.0,89.0,
BAZ2B,,,231.5,231.5,
BBIP1,,,125.0,125.0,
BBS2,106.5,,169.0,137.75,44.19417382415922
BBS4,76.0,127.0,130.0,111.0,30.347981810987037
BBS9,,91.0,,91.0,
BBX,,,128.0,128.0,
BCAP29,,,102.5,102.5,
BCAP31,89.0,93.0,90.5,90.83333333333333,2.0207259421636903
BCAR3,99.0,,,99.0,
BCAS2,78.0,95.0,126.0,99.66666666666667,24.33789911502908
BCAS4,106.0,90.0,89.0,95.0,9.539392014169456
BCAT1,,73.0,144.0,108.5,50.204581464244875
BCAT2,90.0,,99.5,94.75,6.7175144212722016
BCCIP,,66.0,153.0,109.5,61.518289963229634
BCDIN3D,65.0,,,65.0,
BCHE,,,140.5,140.5,
BCKDK,102.0,,,102.0,
BCL2L13,74.0,,94.5,84.25,14.495689014324224
BCL7B,110.0,,,110.0,
BCL7C,88.0,,,88.0,
BCLAF1,,,125.0,125.0,
BCOR,,149.0,212.0,180.5,44.54772721475249
BCS1L,103.0,120.0,100.0,107.66666666666667,10.785793124908958
BDP1,,,204.0,204.0,
BECN1,80.0,113.0,114.0,102.33333333333333,19.347695814575268
BET1,74.0,139.0,128.0,113.66666666666667,34.78984526170436
BET1L,114.0,,152.0,133.0,26.870057685088806
BEX1,,,140.5,140.5,
BEX4,,125.0,142.0,133.5,12.020815280171307
BFAR,97.0,100.0,119.5,105.5,12.216791722870616
BHLHE40,80.0,,,80.0,
BICD1,,,194.0,194.0,
BID,98.0,,,98.0,
BIN3,87.5,122.0,101.5,103.66666666666667,17.35175303343536
BIRC2,,,176.5,176.5,
