,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
ROMO1,89.0,145.5,138.0,124.16666666666667,30.685229888878677
RP1-261D10.2,93.5,,,93.5,
RP1-39G22.7,,,149.0,149.0,
RP1-80N2.2,70.5,,,70.5,
RP11-1094M14.11,85.5,,247.0,166.25,114.19774516162742
RP11-111M22.3,94.5,,,94.5,
RP11-1144P22.1,,131.0,,131.0,
RP11-1149O23.3,114.5,,,114.5,
RP11-12G12.7,119.0,,,119.0,
RP11-132A1.3,,108.5,,108.5,
RP11-132A1.4,104.0,119.0,,111.5,10.606601717798213
RP11-148B6.1,,273.0,,273.0,
RP11-149I23.3,140.0,,,140.0,
RP11-152N13.5,99.0,,,99.0,
RP11-166D19.1,,,256.0,256.0,
RP11-184E9.4,,289.0,,289.0,
RP11-190J1.3,114.0,,,114.0,
RP11-254F7.2,89.5,114.0,,101.75,17.324116139070416
RP11-256I9.2,,132.0,,132.0,
RP11-267L5.1,,84.5,,84.5,
RP11-295G20.2,102.5,,,102.5,
RP11-297M9.1,,155.0,,155.0,
RP11-312J18.5,77.0,,,77.0,
RP11-33B1.1,74.0,,231.0,152.5,111.01576464628796
RP11-347E10.1,104.0,,,104.0,
RP11-354K1.1,81.0,,,81.0,
RP11-35J1.2,,148.5,,148.5,
RP11-366H4.1,103.0,,,103.0,
RP11-371A22.1,54.0,88.5,62.0,68.16666666666667,18.05777764104247
RP11-382A20.3,,164.0,117.0,140.5,33.23401871576773
RP11-390E23.6,,,116.0,116.0,
RP11-403A21.1,76.5,,,76.5,
RP11-415G4.1,,167.5,,167.5,
RP11-421L21.3,83.0,,,83.0,
RP11-425L10.1,73.5,,,73.5,
RP11-43F13.1,65.0,,,65.0,
RP11-466H18.1,63.0,89.0,73.0,75.0,13.114877048604
RP11-469A15.2,,160.0,,160.0,
RP11-485F13.1,,87.0,,87.0,
RP11-488P3.1,70.0,,,70.0,
RP11-490H24.5,54.0,97.0,,75.5,30.405591591021544
RP11-49I11.1,102.5,,,102.5,
RP11-53O19.1,111.5,,,111.5,
RP11-54H7.4,113.0,,,113.0,
RP11-562F9.2,,110.0,,110.0,
RP11-568A7.4,,142.5,,142.5,
RP11-572P18.1,,96.0,79.0,87.5,12.020815280171307
RP11-574K11.24,157.0,,,157.0,
RP11-620J15.3,99.0,,92.5,95.75,4.596194077712559
RP11-632C17__A.1,68.0,90.0,80.0,79.33333333333333,11.015141094572204
