,UNIPROT_ID,cell_line,half-life t1/2 in h,kdeg,HGNC_ID,Study
13354,Q6PZ35,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13355,Q6Q317,HeLA,37.97534708084927,0.018252556825464675,HGNC:12658,Cambridge 2011
13356,Q6Q3G8,HeLA,32.67994731681727,0.021210168236815003,HGNC:6501,Cambridge 2011
13357,Q6QBS3,HeLA,24.451773398016076,0.02834752184543738,,Cambridge 2011
13358,Q6QHF3,HeLA,34.78862890091737,0.01992453288498723,,Cambridge 2011
13359,Q6QNL3,HeLA,22.111854135236868,0.031347311551561126,HGNC:24542,Cambridge 2011
13360,Q6QNY1-1,HeLA,38.588536816541286,0.01796251523749981,,Cambridge 2011
13361,Q6QNY1-2,HeLA,38.588536816541286,0.01796251523749981,,Cambridge 2011
13362,Q6QNY5,HeLA,28.81953322459631,0.0240512979567751,,Cambridge 2011
13363,Q6QNY6,HeLA,28.81953322459631,0.0240512979567751,,Cambridge 2011
13364,Q6QNY7,HeLA,28.81953322459631,0.0240512979567751,,Cambridge 2011
13365,Q6QWC0,HeLA,29.337221200056067,0.02362688599009577,,Cambridge 2011
13366,Q6QWC1,HeLA,29.337221200056067,0.02362688599009577,,Cambridge 2011
13367,Q6R0V6,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13368,Q6R327-1,HeLA,19.496308969441813,0.035552738810529345,,Cambridge 2011
13369,Q6R327-2,HeLA,19.496308969441813,0.035552738810529345,,Cambridge 2011
13370,Q6R327-3,HeLA,19.496308969441813,0.035552738810529345,,Cambridge 2011
13371,Q6R5J7,HeLA,24.617074640574724,0.028157171015660645,HGNC:3379,Cambridge 2011
13372,Q6RCM4,HeLA,13.604901590300823,0.05094834210738446,,Cambridge 2011
13373,Q6RKW8,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13374,Q6RKZ7,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13375,Q6RMF4,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13376,Q6RMK4,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13377,Q6RMM5,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13378,Q6RMP2,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13379,Q6RN73,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13380,Q6RNG4,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13381,Q6RNJ0,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13382,Q6RNL1,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13383,Q6RNN7,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13384,Q6RPF2,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13385,Q6RQ80,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13386,Q6RQI4,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13387,Q6RRI3,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13388,Q6RRR0,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13389,Q6RS00,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13390,Q6RS27,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13391,Q6S377,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13392,Q6S378,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13393,Q6S379,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13394,Q6S380,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13395,Q6S382,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13396,Q6S383,HeLA,45.932330743249466,0.015090616333720774,HGNC:9069,Cambridge 2011
13397,Q6S4P3,HeLA,15.205897848265565,0.04558410081907843,,Cambridge 2011
13398,Q6SJ93-1,HeLA,15.710704373582724,0.044119421006066424,,Cambridge 2011
13399,Q6SJ93-2,HeLA,15.710704373582724,0.044119421006066424,,Cambridge 2011
13400,Q6SPF3,HeLA,30.192701673528,0.022957441439156626,HGNC:15486,Cambridge 2011
13401,Q6ST48,HeLA,25.434942428911533,0.02725176919496601,,Cambridge 2011
13402,Q6T598,HeLA,23.810729669726626,0.029110707238897623,,Cambridge 2011
13403,Q6TAR2,HeLA,28.96625425273624,0.023929472361600517,,Cambridge 2011
13404,Q6TAR3,HeLA,23.86853730935363,0.029040203493672565,,Cambridge 2011
13405,Q6TBL4,HeLA,30.36289626644615,0.022828756995950283,,Cambridge 2011
13406,Q6TGM0,HeLA,40.31494783811921,0.01719330466067353,,Cambridge 2011
13407,Q6TGM1,HeLA,40.31494783811921,0.01719330466067353,,Cambridge 2011
13408,Q6TGM2,HeLA,40.31494783811921,0.01719330466067353,,Cambridge 2011
13409,Q6TGM4,HeLA,51.73124211267581,0.01339900517080571,,Cambridge 2011
13410,Q6TGM5,HeLA,51.73124211267581,0.01339900517080571,,Cambridge 2011
13411,Q6U7I7,HeLA,42.16448483869203,0.01643912366560879,,Cambridge 2011
13412,Q6U8A4,HeLA,39.00396082574222,0.01777119979318806,,Cambridge 2011
13413,Q6UN15-1,HeLA,30.287837387516227,0.022885330890136137,,Cambridge 2011
13414,Q6UN15-2,HeLA,30.287837387516227,0.022885330890136137,,Cambridge 2011
13415,Q6UN15-3,HeLA,30.287837387516227,0.022885330890136137,,Cambridge 2011
13416,Q6UN15-4,HeLA,30.287837387516227,0.022885330890136137,,Cambridge 2011
13417,Q6UQL6,HeLA,12.289110304372935,0.05640336553194555,,Cambridge 2011
13418,Q6UR92,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13419,Q6UR93,HeLA,65.47858582141015,0.010585860581205473,HGNC:6929,Cambridge 2011
13420,Q6UR94,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13421,Q6UR95,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13422,Q6UR96,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13423,Q6UR97,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13424,Q6UR98,HeLA,65.47858582141015,0.010585860581205473,,Cambridge 2011
13425,Q6URC4,HeLA,32.73795804671448,0.021172584422366202,,Cambridge 2011
13426,Q6UUU0,HeLA,32.73795804671448,0.021172584422366202,,Cambridge 2011
13427,Q6UUU9,HeLA,26.314732351645528,0.02634065098201924,,Cambridge 2011
13428,Q6UV22,HeLA,51.03097681028188,0.013582871108598647,HGNC:9564,Cambridge 2011
13429,Q6UV35,HeLA,14.876813071903685,0.046592450762792836,,Cambridge 2011
13430,Q6UW50,HeLA,29.891780738909357,0.02318855429237421,HGNC:11982,Cambridge 2011
13431,Q6UWE0-1,HeLA,24.850744923364683,0.027892410577529527,,Cambridge 2011
13432,Q6UWE0-2,HeLA,24.850744923364683,0.027892410577529527,,Cambridge 2011
13433,Q6UWP7-1,HeLA,54.03093558218548,0.012828709573344546,,Cambridge 2011
13434,Q6UX54,HeLA,60.919074554930326,0.011378163335934117,HGNC:19089,Cambridge 2011
13435,Q6UX71-1,HeLA,16.33011179668382,0.042445954393325325,,Cambridge 2011
13436,Q6UX71-2,HeLA,16.33011179668382,0.042445954393325325,,Cambridge 2011
13437,Q6UX71-3,HeLA,16.33011179668382,0.042445954393325325,,Cambridge 2011
13438,Q6UX91,HeLA,27.474489206622426,0.025228755859558246,HGNC:31928,Cambridge 2011
13439,Q6UYC3,HeLA,42.62419533012177,0.016261824421354185,HGNC:6636,Cambridge 2011
13440,Q6V963,HeLA,31.670987377570224,0.021885872148426938,HGNC:2345,Cambridge 2011
13441,Q6V9R7,HeLA,55.30281655345805,0.012533668694611961,HGNC:14409,Cambridge 2011
13442,Q6VB40,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13443,Q6VB41,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13444,Q6VB42,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13445,Q6VB91,HeLA,22.355817671708436,0.03100522605519062,HGNC:18519,Cambridge 2011
13446,Q6VBB7,HeLA,43.97849142135741,0.015761049507562918,,Cambridge 2011
13447,Q6VBB8,HeLA,17.93956276847368,0.03863790826485784,,Cambridge 2011
13448,Q6VBP2,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13449,Q6VBP3,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13450,Q6VBP4,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13451,Q6VBP5,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13452,Q6VBQ0,HeLA,67.27143969277995,0.010303736380928663,HGNC:12437,Cambridge 2011
13453,Q6VHD5,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13454,Q6VHV2,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13455,Q6VHV8,HeLA,32.97852871079192,0.021018135364332346,,Cambridge 2011
13456,Q6VI79,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13457,Q6VI80,HeLA,32.97852871079192,0.021018135364332346,,Cambridge 2011
13458,Q6VID5,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13459,Q6VIF3,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13460,Q6VIG7,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13461,Q6VIX6,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13462,Q6VIZ4,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13463,Q6VJD8,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13464,Q6VJJ3,HeLA,71.45337226588465,0.009700692333745705,,Cambridge 2011
13465,Q6VKL7,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13466,Q6VL53,HeLA,32.97852871079192,0.021018135364332346,,Cambridge 2011
13467,Q6VLK7,HeLA,54.63187462524908,0.012687596486751255,,Cambridge 2011
13468,Q6VLU5,HeLA,32.97852871079192,0.021018135364332346,,Cambridge 2011
13469,Q6VMQ6-1,HeLA,14.695507459022481,0.04716728445701814,,Cambridge 2011
13470,Q6VMQ6-2,HeLA,14.695507459022481,0.04716728445701814,,Cambridge 2011
13471,Q6VMQ6-3,HeLA,14.695507459022481,0.04716728445701814,,Cambridge 2011
13472,Q6VRU3,HeLA,31.548564383639487,0.021970799435786652,,Cambridge 2011
13473,Q6VUC6,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13474,Q6VUC7,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13475,Q6VUC8,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13476,Q6VUC9,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13477,Q6VUD0,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13478,Q6VUD1,HeLA,23.562608168213295,0.029417251927782037,HGNC:3360,Cambridge 2011
13479,Q6VY07-1,HeLA,32.27162827200826,0.021478531381113074,,Cambridge 2011
13480,Q6VY07-2,HeLA,32.27162827200826,0.021478531381113074,,Cambridge 2011
13481,Q6W3F3,HeLA,43.596199571156724,0.01589925698520134,HGNC:21528,Cambridge 2011
13482,Q6W6M6,HeLA,78.86025765550733,0.00878956271722932,,Cambridge 2011
13483,Q6W898,HeLA,40.57235348636599,0.017084224132890683,HGNC:735,Cambridge 2011
13484,Q6W9G7,HeLA,21.487464768545276,0.03225821138167116,HGNC:14067,Cambridge 2011
13485,Q6WKZ4-2,HeLA,36.565351147985005,0.018956393383306597,,Cambridge 2011
13486,Q6WKZ4-3,HeLA,36.565351147985005,0.018956393383306597,,Cambridge 2011
13487,Q6WKZ4-4,HeLA,36.565351147985005,0.018956393383306597,,Cambridge 2011
13488,Q6WQ46,HeLA,32.97852871079192,0.021018135364332346,,Cambridge 2011
13489,Q6WQ97,HeLA,59.217668156505276,0.0117050738763985,,Cambridge 2011
13490,Q6WWJ7,HeLA,103.5096457748766,0.0066964501266623296,HGNC:5986,Cambridge 2011
13491,Q6X735,HeLA,53.74251059062988,0.012897558616861435,HGNC:13390,Cambridge 2011
13492,Q6X907,HeLA,12.0737973668123,0.057409210996469506,,Cambridge 2011
13493,Q6XQN4,HeLA,45.83545406104968,0.015122511487215133,HGNC:30450,Cambridge 2011
13494,Q6XQN5,HeLA,45.83545406104968,0.015122511487215133,HGNC:30450,Cambridge 2011
